anio,pais,cargo,nivel_experiencia,tipo_empleo,modalidad,industria,tamanio_empresa,sueldo_clp,sueldo_usd,habilidades,n_habilidades,tiene_cert_cloud,tiene_framework_ml
2022,Chile,Data Analyst,Semi Senior,Contrato,Remoto,Salud,Startup,2190000,2406,"MLflow, Azure, Tableau, NLP, Deep Learning, AWS, BigQuery, Keras",8,True,True
2023,Colombia,MLOps Engineer,Senior,Contrato,Remoto,Minería,Pequeña (<50),6060000,6659,"Spark, Git, Matplotlib, MLflow, Looker, Keras, Python",7,False,True
2024,Chile,MLOps Engineer,Junior,Full Time,Presencial,Gobierno / Público,Grande (+500),2450000,2692,"Kubernetes, Matplotlib, GCP, Airflow, PyTorch",5,True,True
2022,Chile,ML Engineer,Lead,Full Time,Presencial,Fintech / Banca,Pequeña (<50),9390000,10318,"PyTorch, Excel, MLflow, Pandas, Seaborn, Docker, Snowflake, scikit-learn, Tableau, Linux, dbt, AWS, Airflow, Matplotlib",14,True,True
2023,Colombia,AI Engineer,Senior,Full Time,Presencial,Salud,Startup,4050000,4450,"TensorFlow, Computer Vision, Tableau, Keras, Git, BigQuery, Machine Learning, NumPy, Seaborn",9,False,True
2023,Chile,MLOps Engineer,Lead,Full Time,Remoto,Manufactura,Pequeña (<50),7280000,8000,"TensorFlow, Computer Vision, Seaborn, Airflow, MLflow, GCP, Estadística, Pandas, AWS, Power BI, NumPy, BigQuery, Spark",13,True,True
2022,México,Data Scientist,Semi Senior,Full Time,Presencial,Manufactura,Pequeña (<50),1890000,2076,"FastAPI, Estadística, TensorFlow, PyTorch, SQL, Deep Learning, Keras, Spark",8,False,True
2023,Chile,ML Engineer,Junior,Full Time,Híbrido,Manufactura,Mediana (50-500),2280000,2505,"Keras, Estadística, scikit-learn, Power Query, FastAPI, Docker",6,False,True
2022,Chile,AI Engineer,Junior,Contrato,Híbrido,Seguros,Mediana (50-500),2800000,3076,"Seaborn, BigQuery, Matplotlib",3,False,False
2023,Chile,Data Scientist,Semi Senior,Full Time,Presencial,Retail / E-Commerce,Grande (+500),2880000,3164,"SQL, Power BI, NumPy, Spark, Tableau, Linux",6,False,False
2022,Argentina,Data Analyst,Junior,Full Time,Híbrido,Manufactura,Mediana (50-500),1230000,1351,"Python, dbt, Keras, PyTorch",4,False,True
2023,Chile,AI Engineer,Senior,Part Time,Remoto,Tecnología,Grande (+500),10680000,11736,"Pandas, SQL, AWS, Airflow, Snowflake, Tableau, Seaborn, Docker",8,True,False
2024,Chile,ML Engineer,Senior,Full Time,Presencial,Minería,Startup,6590000,7241,"Looker, Kubernetes, R, FastAPI, Snowflake, Pandas, Python, SQL, Spark, GCP",10,True,False
2022,Argentina,MLOps Engineer,Senior,Full Time,Remoto,Minería,Startup,6060000,6659,"Tableau, PyTorch, dbt, Pandas, GCP, FastAPI, Airflow, Keras",8,True,True
2022,Chile,NLP Engineer,Semi Senior,Contrato,Presencial,Educación,Grande (+500),2750000,3021,"Docker, Machine Learning, NLP, Kubernetes, BigQuery, Azure, Estadística, Power Query, GCP",9,True,False
